num,x,y,z,buried
1,0,1.2,-1.15,1
2,0,1.2,-1.05,1
3,0,1.2,-0.95,1
4,0,1.2,-0.85,1
5,0,1.2,-0.75,1
6,0,1.2,-0.65,1
7,0,1.2,-0.55,1
8,0,1.2,-0.45,1
9,0,1.2,-0.35,1
10,0,1.2,-0.25,1
11,0,1.2,-0.15,1
12,0,1.2,-0.05,1
13,0,0,-1.75,1
14,0,0,-1.65,1
15,0,0,-1.55,1
16,0,0,-1.45,1
17,0,0,-1.35,1
18,0,0,-1.25,1
19,0,0,-1.15,1
20,0,0,-1.05,1
21,0,0,-0.95,1
22,0,0,-0.85,1
23,0,0,-0.75,1
24,0,0,-0.65,1
25,1.2,0,-1.75,1
26,1.2,0,-1.65,1
27,1.2,0,-1.55,1
28,1.2,0,-1.45,1
29,1.2,0,-1.35,1
30,1.2,0,-1.25,1
31,1.2,0,-1.15,1
32,1.2,0,-1.05,1
33,1.2,0,-0.95,1
34,1.2,0,-0.85,1
35,1.2,0,-0.75,1
36,1.2,0,-0.65,1
37,1.2,1.15,-1.35,1
38,1.2,1.15,-1.25,1
39,1.2,1.15,-1.15,1
40,1.2,1.15,-1.05,1
41,1.2,1.15,-0.95,1
42,1.2,1.15,-0.85,1
43,1.2,1.15,-0.75,1
44,1.2,1.15,-0.65,1
45,1.2,1.15,-0.55,1
46,1.2,1.15,-0.45,1
47,1.2,1.15,-0.35,1
48,1.2,1.15,-0.25,1
49,0.2,1,-0.1,0
50,0.2,0.8,-0.2,0
51,0.2,0.6,-0.3,0
52,0.2,0.4,-0.4,0
53,0.2,0.2,-0.5,0
54,0.4,1,-0.1,0
55,0.4,0.8,-0.2,0
56,0.4,0.6,-0.3,0
57,0.4,0.4,-0.4,0
58,0.4,0.2,-0.5,0
59,0.6,1,-0.15,0
60,0.6,0.6,-0.35,0
61,0.6,0.4,-0.42,0
62,0.6,0.2,-0.5,0
63,0.8,1,-0.25,0
64,0.8,0.8,-0.33,0
65,0.8,0.6,-0.4,0
66,0.8,0.4,-0.45,0
67,0.8,0.2,-0.5,0
68,1,0.95,-0.28,0
69,1,0.8,-0.35,0
70,1,0.6,-0.42,0
71,1,0.4,-0.45,0
72,1,0.2,-0.5,0
